                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.44748,                0.37974,                  0.927,                0.80563,                0.91151,                0.89402,                0.71539,                0.54825,                0.47155,                 1.0189,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.4798,                0.42718,                0.94801,                0.82102,                 0.9306,                0.89928,                0.71214,                0.55405,                0.46997,                  1.052,             0.00029713,             0.00029713,             0.00029713
                     79,                0.47858,                0.39701,                0.94509,                0.85067,                0.88867,                0.90293,                0.71989,                0.54111,                0.47981,                 1.0073,             0.00028475,             0.00028475,             0.00028475
                     80,                0.46162,                0.40416,                0.93601,                0.85417,                 0.9044,                0.90413,                0.72322,                0.53024,                0.48931,                0.98959,             0.00027237,             0.00027237,             0.00027237
                     81,                0.45976,                0.38954,                0.94606,                  0.848,                0.93485,                0.90369,                0.71698,                0.54479,                0.49656,                 1.0129,                0.00026,                0.00026,                0.00026
                     82,                0.46222,                0.39482,                0.93492,                0.84028,                0.93534,                0.90358,                0.72261,                0.52823,                0.47988,                 1.0004,             0.00024762,             0.00024762,             0.00024762
                     83,                0.48404,                0.39504,                0.94092,                0.83633,                0.92145,                0.89693,                 0.7179,                0.51612,                0.45229,                0.99029,             0.00023525,             0.00023525,             0.00023525
                     84,                0.46073,                0.38723,                0.92767,                 0.8909,                0.90242,                0.92023,                0.72777,                0.54207,                0.46081,                 1.0129,             0.00022288,             0.00022288,             0.00022288
                     85,                0.42668,                0.37833,                0.91226,                0.86837,                0.89896,                0.90544,                0.72581,                0.54695,                0.46886,                 1.0276,              0.0002105,              0.0002105,              0.0002105
                     86,                0.45286,                 0.3968,                0.91681,                0.84425,                0.86832,                0.91165,                0.73023,                 0.5431,                0.46876,                 1.0347,             0.00019813,             0.00019813,             0.00019813
                     87,                0.44028,                0.37938,                0.91912,                0.84879,                0.87765,                 0.9154,                0.74105,                0.52324,                0.45305,                 1.0064,             0.00018575,             0.00018575,             0.00018575
                     88,                0.45308,                0.40104,                0.93401,                0.85146,                0.86701,                0.91536,                 0.7392,                0.51178,                0.44715,                0.99253,             0.00017338,             0.00017338,             0.00017338
                     89,                0.45367,                0.40397,                0.94528,                0.85712,                0.89734,                0.92074,                0.73528,                0.50219,                0.45595,                0.99228,               0.000161,               0.000161,               0.000161
                     90,                0.46188,                0.38952,                0.93428,                0.85922,                  0.895,                0.91939,                0.73639,                0.48308,                0.45273,                0.98013,             0.00014862,             0.00014862,             0.00014862
                     91,                0.40645,                0.38218,                 0.9225,                0.84632,                0.88023,                  0.908,                0.73999,                0.50572,                0.45764,                 1.0157,             0.00013625,             0.00013625,             0.00013625
                     92,                0.39514,                0.36339,                0.93153,                0.83411,                0.89637,                0.89781,                0.73015,                0.51362,                0.45414,                 1.0308,             0.00012387,             0.00012387,             0.00012387
                     93,                0.36338,                0.33414,                0.90544,                0.86139,                0.87654,                0.89946,                0.72693,                0.50948,                0.45186,                 1.0233,              0.0001115,              0.0001115,              0.0001115
                     94,                0.38301,                0.32343,                0.89072,                0.85304,                0.89179,                 0.8967,                0.72404,                0.50104,                0.44128,                 1.0044,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.38159,                0.34421,                 0.9049,                0.86539,                0.88984,                0.90153,                0.73319,                0.49072,                 0.4348,                 0.9961,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.36228,                 0.3536,                0.90036,                0.85615,                0.87601,                0.89442,                0.73449,                0.48722,                0.43116,                0.99637,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                   0.37,                0.31977,                0.89207,                0.84612,                0.88961,                0.89703,                0.73539,                0.48426,                0.42893,                0.99181,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.36696,                0.30928,                0.88054,                0.85472,                0.88574,                0.89938,                0.73594,                0.48193,                0.42827,                0.98862,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.37689,                0.32126,                0.88209,                0.85323,                0.88393,                0.90441,                0.73787,                0.48322,                0.43114,                0.98817,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.37164,                0.32554,                0.89548,                0.86135,                0.89131,                0.90902,                0.73823,                0.48314,                0.43046,                0.98706,             2.4875e-05,             2.4875e-05,             2.4875e-05
